source file name , phase name , phase input files , phase output file , arch , tool, metric , unit
C:/Users/user/Desktop/Git/CUDA/vec_add.cu , cl.exe (preprocessing 4) , C:/Users/user/Desktop/Git/CUDA/vec_add.cu  , C:/Users/user/AppData/Local/Temp/tmpxft_000034a4_00000000-10_vec_add.cpp4.ii ,  , nvcc , 177.5489 , ms
C:/Users/user/Desktop/Git/CUDA/vec_add.cu , cudafe++ , C:/Users/user/AppData/Local/Temp/tmpxft_000034a4_00000000-10_vec_add.cpp4.ii  , C:/Users/user/AppData/Local/Temp/tmpxft_000034a4_00000000-11_vec_add.cudafe1.cpp , compute_86 , nvcc , 275.4625 , ms
C:/Users/user/Desktop/Git/CUDA/vec_add.cu , cl.exe (preprocessing 1) , C:/Users/user/Desktop/Git/CUDA/vec_add.cu  , C:/Users/user/AppData/Local/Temp/tmpxft_000034a4_00000000-16_vec_add.cpp1.ii , compute_86 , nvcc , 206.1741 , ms
C:/Users/user/Desktop/Git/CUDA/vec_add.cu , cicc ,  C:/Users/user/AppData/Local/Temp/tmpxft_000034a4_00000000-16_vec_add.cpp1.ii  , C:/Users/user/AppData/Local/Temp/tmpxft_000034a4_00000000-11_vec_add.ptx , compute_86 , nvcc , 329.9149 , ms
C:/Users/user/Desktop/Git/CUDA/vec_add.cu , ptxas , C:/Users/user/AppData/Local/Temp/tmpxft_000034a4_00000000-11_vec_add.ptx  , C:/Users/user/AppData/Local/Temp/tmpxft_000034a4_00000000-19_vec_add.cubin , sm_86 , nvcc , 33.8033 , ms
C:/Users/user/Desktop/Git/CUDA/vec_add.cu , fatbinary , C:/Users/user/AppData/Local/Temp/tmpxft_000034a4_00000000-19_vec_add.cubin  , C:/Users/user/AppData/Local/Temp/tmpxft_000034a4_00000000-8_vec_add.fatbin ,  , nvcc , 22.6166 , ms
C:/Users/user/Desktop/Git/CUDA/vec_add.cu , cl.exe (compiling) ,   , C:/Users/user/AppData/Local/Temp/tmpxft_000034a4_00000000-20_vec_add.obj , compute_86 , nvcc , 257.1367 , ms
C:/Users/user/Desktop/Git/CUDA/vec_add.cu  , nvlink , C:/Users/user/AppData/Local/Temp/tmpxft_000034a4_00000000-20_vec_add.obj  , C:/Users/user/AppData/Local/Temp/tmpxft_000034a4_00000000-23_vec_add_dlink.cubin , sm_86 , nvcc , 29.2999 , ms
C:/Users/user/Desktop/Git/CUDA/vec_add.cu  , fatbinary , C:/Users/user/AppData/Local/Temp/tmpxft_000034a4_00000000-23_vec_add_dlink.cubin  , C:/Users/user/AppData/Local/Temp/tmpxft_000034a4_00000000-13_vec_add_dlink.fatbin ,  , nvcc , 22.2579 , ms
C:/Users/user/Desktop/Git/CUDA/vec_add.cu  , cl.exe (compiling) , C:\Program Files\NVIDIA GPU Computing Toolkit\CUDA\v12.5\bin\crt\link.stub  , C:/Users/user/AppData/Local/Temp/tmpxft_000034a4_00000000-25_vec_add_dlink.obj ,  , nvcc , 74.0870 , ms
C:/Users/user/Desktop/Git/CUDA/vec_add.cu  , cl.exe (linking) , C:/Users/user/AppData/Local/Temp/tmpxft_000034a4_00000000-25_vec_add_dlink.obj C:/Users/user/AppData/Local/Temp/tmpxft_000034a4_00000000-20_vec_add.obj  , C:/Users/user/Desktop/Git/CUDA/build/vec_add.exe ,  , nvcc , 146.8548 , ms
